timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591111347609,1219,GET_Main_Page,200,OK,Thread Group 1-1,text,true,,3223,401,3,3,https://training.flooded.io/,1216,0,994
1591111350583,857,GET_Main_Page,200,OK,Thread Group 1-2,text,true,,3223,401,3,3,https://training.flooded.io/,856,0,641
1591111353809,852,GET_Main_Page,200,OK,Thread Group 1-3,text,true,,3221,401,3,3,https://training.flooded.io/,852,0,635
1591111354256,1059,POST_Step_1_Start_Challange,200,OK,Thread Group 1-1,text,true,,3552,2455,3,3,https://training.flooded.io/step/2,841,0,629
1591111354256,841,POST_Step_1_Start_Challange-0,302,Found,Thread Group 1-1,text,true,,1134,1370,3,3,https://training.flooded.io/start,841,0,629
1591111355098,217,POST_Step_1_Start_Challange-1,200,OK,Thread Group 1-1,text,true,,2418,1085,3,3,https://training.flooded.io/step/2,217,0,0
1591111357272,1057,POST_Step_1_Start_Challange,200,OK,Thread Group 1-2,text,true,,3554,2457,3,3,https://training.flooded.io/step/2,838,0,626
1591111357272,839,POST_Step_1_Start_Challange-0,302,Found,Thread Group 1-2,text,true,,1134,1372,3,3,https://training.flooded.io/start,838,0,626
1591111358111,218,POST_Step_1_Start_Challange-1,200,OK,Thread Group 1-2,text,true,,2420,1085,3,3,https://training.flooded.io/step/2,218,0,0
1591111360011,1090,POST_Step_1_Start_Challange,200,OK,Thread Group 1-3,text,true,,3553,2453,3,3,https://training.flooded.io/step/2,866,0,647
1591111360011,866,POST_Step_1_Start_Challange-0,302,Found,Thread Group 1-3,text,true,,1134,1368,3,3,https://training.flooded.io/start,866,0,647
1591111360878,223,POST_Step_1_Start_Challange-1,200,OK,Thread Group 1-3,text,true,,2419,1085,3,3,https://training.flooded.io/step/2,223,0,0
1591111361076,1097,POST_Step_2_Confirm_Age,200,OK,Thread Group 1-1,text,true,,4163,2477,3,3,https://training.flooded.io/step/3,871,0,653
1591111361076,871,POST_Step_2_Confirm_Age-0,302,Found,Thread Group 1-1,text,true,,1134,1392,3,3,https://training.flooded.io/start,871,0,653
1591111361948,225,POST_Step_2_Confirm_Age-1,200,OK,Thread Group 1-1,text,true,,3029,1085,3,3,https://training.flooded.io/step/3,225,0,0
